model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
Opus 5,complete,ladder:misalign:10M,2100,p1,0.049,0.23575000000000002,0.112,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p1,,0.23575000000000002,0.1915,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p1,0.0525,0.23575000000000002,0.157,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,p2a,0.295,0.1765,0.19,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,p2a,0.041,0.1765,0.0966,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p2a,,0.1765,0.163,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p2a,0.045,0.1765,0.142,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,p2b,0.23,0.15055000000000002,0.16,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,p2b,0.033,0.15055000000000002,0.0818,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p2b,,0.15055000000000002,0.1411,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p2b,0.03,0.15055000000000002,0.127,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,p3a,0.265,0.16394999999999998,0.16,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,p3a,0.04,0.16394999999999998,0.0866,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p3a,,0.16394999999999998,0.1679,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p3a,0.0425,0.16394999999999998,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,p3b,0.187,0.14235,0.13,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,p3b,0.032,0.14235,0.0754,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p3b,,0.14235,0.1547,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p3b,0.035,0.14235,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,p4,0.23,0.1615,0.16,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,p4,0.04,0.1615,0.0834,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p4,,0.1615,0.163,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p4,0.04,0.1615,0.127,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,p5,0.125,0.095,0.1,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,p5,0.021,0.095,0.0575,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,p5,,0.095,0.1198,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,p5,0.02,0.095,0.09,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,eci_p10,0.242,0.16875,0.16,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,eci_p10,0.028,0.16875,0.0637,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,eci_p10,,0.16875,0.1775,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,eci_p10,0.025,0.16875,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,eci_p25,0.28,0.1819,0.18,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,eci_p25,0.036,0.1819,0.0858,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,eci_p25,,0.1819,0.1838,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,eci_p25,0.0375,0.1819,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,eci_p50,0.32,0.1927,0.2,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,eci_p50,0.046,0.1927,0.105,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,eci_p50,,0.1927,0.1854,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,eci_p50,0.05,0.1927,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,eci_p75,0.38,0.2153,0.23,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,eci_p75,0.062,0.2153,0.134,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,eci_p75,,0.2153,0.2006,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,eci_p75,0.075,0.2153,0.172,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:10M,2100,eci_p90,0.45,0.24125000000000002,0.27,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:10M,2100,eci_p90,0.087,0.24125000000000002,0.178,Original Opus 5
Fable 5.1,refused,ladder:misalign:10M,2100,eci_p90,,0.24125000000000002,0.2125,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:10M,2100,eci_p90,0.125,0.24125000000000002,0.202,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,unconditional,0.0002,3.5000000000000004e-05,1.3e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,unconditional,0.00015,3.5000000000000004e-05,3e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,unconditional,,3.5000000000000004e-05,0.0004,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,unconditional,5e-06,3.5000000000000004e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,sq,0.00017,4.12e-05,1.1e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,sq,0.00017,4.12e-05,3.24e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,sq,,4.12e-05,0.00039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,sq,5e-06,4.12e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p1,0.0002,4.24e-05,1.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p1,0.00016,4.24e-05,3.08e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p1,,4.24e-05,0.00039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p1,5.25e-06,4.24e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p2a,0.000115,2.96e-05,9e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p2a,0.00014,2.96e-05,2.92e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p2a,,2.96e-05,0.00037,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p2a,4.5e-06,2.96e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p2b,7.9e-05,2.4900000000000002e-05,7.5e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p2b,0.00011,2.4900000000000002e-05,2.78e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p2b,,2.4900000000000002e-05,0.00036,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p2b,3e-06,2.4900000000000002e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p3a,6.4e-05,2.61e-05,7e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p3a,0.00013,2.61e-05,2.82e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p3a,,2.61e-05,0.00036,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p3a,4.25e-06,2.61e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p3b,3.9e-05,2.26e-05,5e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p3b,0.000105,2.26e-05,2.72e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p3b,,2.26e-05,0.00035,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p3b,3.5e-06,2.26e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p4,6e-05,2.6949999999999998e-05,6.5e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p4,0.00013,2.6949999999999998e-05,2.79e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p4,,2.6949999999999998e-05,0.00035,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p4,4e-06,2.6949999999999998e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,p5,2.2e-05,1.8750000000000002e-05,3e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,p5,7e-05,1.8750000000000002e-05,2.55e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,p5,,1.8750000000000002e-05,0.00032,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,p5,2e-06,1.8750000000000002e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,eci_p10,3.5e-05,2.12e-05,4e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,eci_p10,9e-05,2.12e-05,2.04e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,eci_p10,,2.12e-05,0.00024,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,eci_p10,2.5e-06,2.12e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,eci_p25,7e-05,2.81e-05,6.5e-06,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,eci_p25,0.00012,2.81e-05,2.52e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,eci_p25,,2.81e-05,0.00031,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,eci_p25,3.75e-06,2.81e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,eci_p50,0.00013,3.5000000000000004e-05,1e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,eci_p50,0.00015,3.5000000000000004e-05,3e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,eci_p50,,3.5000000000000004e-05,0.00039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,eci_p50,5e-06,3.5000000000000004e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,eci_p75,0.00035,5.13e-05,1.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,eci_p75,0.0002,5.13e-05,3.66e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,eci_p75,,5.13e-05,0.00052,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,eci_p75,7.5e-06,5.13e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,6mo,eci_p90,0.00095,7.575e-05,3e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,6mo,eci_p90,0.00029,7.575e-05,4.65e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,6mo,eci_p90,,7.575e-05,0.00068,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,6mo,eci_p90,1.25e-05,7.575e-05,1e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,unconditional,0.00065,0.000115,7.8e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,unconditional,0.0003,0.000115,8e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,unconditional,,0.000115,0.0009,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,unconditional,1e-05,0.000115,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,sq,0.00075,0.000135,6.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,sq,0.00035,0.000135,9e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,sq,,0.000135,0.00087,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,sq,1e-05,0.000135,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p1,0.00088,0.0001391,7.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p1,0.00032,0.0001391,8.32e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p1,,0.0001391,0.00087,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p1,1.05e-05,0.0001391,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p2a,0.00043,9.325e-05,5.4e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p2a,0.00027,9.325e-05,7.65e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p2a,,9.325e-05,0.00083,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p2a,9e-06,9.325e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p2b,0.00029,7.67e-05,4.5e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p2b,0.00022,7.67e-05,7.04e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p2b,,7.67e-05,0.00081,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p2b,6e-06,7.67e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p3a,0.000235,8.115e-05,4.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p3a,0.00026,8.115e-05,7.23e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p3a,,8.115e-05,0.00081,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p3a,8.5e-06,8.115e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p3b,0.000145,6.79e-05,3e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p3b,0.00021,6.79e-05,6.78e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p3b,,6.79e-05,0.00079,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p3b,7e-06,6.79e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p4,0.00022,8.45e-05,3.9e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p4,0.00026,8.45e-05,7.1e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p4,,8.45e-05,0.00079,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p4,8e-06,8.45e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,p5,8e-05,5.29e-05,1.8e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,p5,0.00014,5.29e-05,6.08e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,p5,,5.29e-05,0.00072,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,p5,4e-06,5.29e-05,3e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,eci_p10,0.00013,6.63e-05,2.4e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,eci_p10,0.00018,6.63e-05,4.96e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,eci_p10,,6.63e-05,0.00054,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,eci_p10,5e-06,6.63e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,eci_p25,0.00026,9.2e-05,3.9e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,eci_p25,0.00023,9.2e-05,6.4e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,eci_p25,,9.2e-05,0.0007,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,eci_p25,7.5e-06,9.2e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,eci_p50,0.00046,0.000115,6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,eci_p50,0.0003,0.000115,8e-05,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,eci_p50,,0.000115,0.00087,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,eci_p50,1e-05,0.000115,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,eci_p75,0.0011,0.000176,9.6e-05,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,eci_p75,0.0004,0.000176,0.000102,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,eci_p75,,0.000176,0.00117,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,eci_p75,1.5e-05,0.000176,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,12mo,eci_p90,0.0028,0.000285,0.00018,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,12mo,eci_p90,0.00057,0.000285,0.000134,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,12mo,eci_p90,,0.000285,0.00153,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,12mo,eci_p90,2.5e-05,0.000285,6e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,unconditional,0.004,0.0012799999999999999,0.00156,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,unconditional,0.0008,0.0012799999999999999,0.00035,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,unconditional,,0.0012799999999999999,0.005,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,unconditional,5e-05,0.0012799999999999999,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,sq,0.0055,0.0012599999999999998,0.00132,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,sq,0.00092,0.0012599999999999998,0.000423,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,sq,,0.0012599999999999998,0.005,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,sq,5e-05,0.0012599999999999998,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p1,0.0065,0.0013700000000000001,0.00144,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p1,0.00086,0.0013700000000000001,0.000373,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p1,,0.0013700000000000001,0.005,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p1,5.25e-05,0.0013700000000000001,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p2a,0.0028,0.000915,0.00108,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p2a,0.00072,0.000915,0.000325,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p2a,,0.000915,0.0042,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p2a,4.5e-05,0.000915,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p2b,0.0019,0.000725,0.0009,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p2b,0.00058,0.000725,0.000282,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p2b,,0.000725,0.0039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p2b,3e-05,0.000725,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p3a,0.0017,0.0007199999999999999,0.00084,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p3a,0.00069,0.0007199999999999999,0.000295,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p3a,,0.0007199999999999999,0.0042,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p3a,4.25e-05,0.0007199999999999999,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p3b,0.00105,0.000525,0.0006,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p3b,0.00056,0.000525,0.000264,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p3b,,0.000525,0.0039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p3b,3.5e-05,0.000525,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p4,0.0016,0.0007149999999999999,0.00078,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p4,0.0007,0.0007149999999999999,0.000286,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p4,,0.0007149999999999999,0.0039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p4,4e-05,0.0007149999999999999,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,p5,0.00055,0.00033,0.00036,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,p5,0.00037,0.00033,0.000214,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,p5,,0.00033,0.0031,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,p5,2e-05,0.00033,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,eci_p10,0.001,0.000515,0.00048,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,eci_p10,0.00048,0.000515,0.000165,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,eci_p10,,0.000515,0.0029,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,eci_p10,2.5e-05,0.000515,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,eci_p25,0.0018,0.00078,0.00078,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,eci_p25,0.00062,0.00078,0.000256,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,eci_p25,,0.00078,0.0039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,eci_p25,3.75e-05,0.00078,0.0002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,eci_p50,0.0032,0.0010999999999999998,0.0012,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,eci_p50,0.0008,0.0010999999999999998,0.00035,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,eci_p50,,0.0010999999999999998,0.0049,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,eci_p50,5e-05,0.0010999999999999998,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,eci_p75,0.0068,0.0017850000000000001,0.00192,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,eci_p75,0.0011,0.0017850000000000001,0.000508,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,eci_p75,,0.0017850000000000001,0.0067,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,eci_p75,7.5e-05,0.0017850000000000001,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2028,eci_p90,0.0142,0.0031,0.0036,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2028,eci_p90,0.0015,0.0031,0.000788,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2028,eci_p90,,0.0031,0.009,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2028,eci_p90,0.000125,0.0031,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2030,unconditional,0.014,0.00575,0.0075,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2030,unconditional,0.0014,0.00575,0.001,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2030,unconditional,,0.00575,0.016,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2030,unconditional,0.0005,0.00575,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2030,sq,0.023,0.006,0.0072,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2030,sq,0.0016,0.006,0.00126,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2030,sq,,0.006,0.0168,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2030,sq,0.0005,0.006,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2030,p1,0.027,0.0065,0.0078,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2030,p1,0.0015,0.0065,0.00108,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2030,p1,,0.0065,0.0162,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2030,p1,0.000525,0.0065,0.002,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2030,p2a,0.0102,0.004200000000000001,0.0054,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2030,p2a,0.0013,0.004200000000000001,0.000912,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2030,p2a,,0.004200000000000001,0.0117,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2030,p2a,0.00045,0.004200000000000001,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2030,p2b,0.0068,0.0033499999999999997,0.0045,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2030,p2b,0.001,0.0033499999999999997,0.00076,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2030,p2b,,0.0033499999999999997,0.0097,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:misalign:100M,2030,p2b,0.0003,0.0033499999999999997,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:misalign:100M,2030,p3a,0.0066,0.0033,0.0042,Original GPT-6 Astra
Opus 5,complete,ladder:misalign:100M,2030,p3a,0.0012,0.0033,0.000808,Original Opus 5
Fable 5.1,refused,ladder:misalign:100M,2030,p3a,,0.0033,0.0125,Original Fable 5.1
